club Name,Stadium Name,Official Website
Arsenal,Emirates Stadium,www.arsenal.com
Aston Villa,Villa Park,www.avfc.co.uk
Brentford,Brentford Community Stadium,www.brentfordfc.com
Brighton and Hove Albion,Amex Stadium,www.brightonandhovealbion.com
Burnley,Turf Moor,www.burnleyfootballclub.com
Chelsea,Stamford Bridge,www.chelseafc.com
Crystal Palace,Selhurst Park,www.cpfc.co.uk
Everton,Goodison Park,www.evertonfc.com
Leeds United,Elland Road,www.leedsunited.com/
Leicester City,King Power Stadium,www.lcfc.com
Liverpool,Anfield,www.liverpoolfc.com
Manchester City,Etihad Stadium,www.mancity.com
Manchester United,Old Trafford,www.manutd.com
Newcastle United,St. James' Park,www.nufc.co.uk
Norwich City,Carrow Road,www.canaries.co.uk
Southampton,St. Mary's Stadium,www.southamptonfc.com
Tottenham Hotspur,Tottenham Hotspur Stadium,www.tottenhamhotspur.com
Watford,Vicarage Road,www.watfordfc.com
West Ham United,London Stadium,www.whufc.com
Wolverhampton Wanderers,Molineux Stadium,https://www.wolves.co.uk
Fulham,Craven Cottage,www.fulhamfc.com
Sheffield United,Bramall Lane,https://www.sufc.co.uk/
West Bromwich Albion,The Hawthorns,www.wba.co.uk
AFC Bournemouth,Vitality Stadium,www.afcb.co.uk
Cardiff City,Cardiff City Stadium,www.cardiffcityfc.co.uk
Huddersfield Town,John Smith's Stadium,www.htafc.com
