Player Name,Position,Nationality,Date Of Birth,Height(cm),Weight(kg)
Bernd Leno,Goalkeeper,Germany,1992-04-03,190.0,83.0
Arthur Okonkwo,Goalkeeper,England,2001-09-09,198.0,
Kieran Tierney,Defender,Scotland,1997-05-06,178.0,70.0
Gabriel Magalhães,Defender,Brazil,1997-12-19,190.0,78.0
Rob Holding,Defender,England,1995-09-20,189.0,75.0
Cédric Soares,Defender,Portugal,1991-08-31,172.0,67.0
Bukayo Saka,Midfielder,England,2001-05-09,178.0,65.0
Thomas Partey,Midfielder,Ghana,1993-06-13,185.0,77.0
Mohamed Elneny,Midfielder,Egypt,1992-11-07,180.0,70.0
Emile Smith Rowe,Midfielder,England,2000-07-28,182.0,79.0
Granit Xhaka,Midfielder,Switzerland,1992-09-27,185.0,82.0
Alexandre Lacazette,Forward,France,1991-05-28,175.0,73.0
Nicolas Pépé,Forward,Cote,1995-05-29,183.0,73.0
Eddie Nketiah,Forward,England,1999-05-30,175.0,72.0
Gabriel Martinelli,Forward,Brazil,2001-06-18,178.0,75.0
Nuno Tavares,Defender,Portugal,2000-01-26,183.0,75.0
Albert Sambi Lokonga,Midfielder,Belgium,1999-10-22,173.0,67.0
Benjamin White,Defender,England,1997-08-10,182.0,78.0
Martin Ødegaard,Midfielder,Norway,1998-12-17,178.0,68.0
Aaron Ramsdale,Goalkeeper,England,1998-05-14,188.0,77.0
Takehiro Tomiyasu,Defender,Japan,1998-05-11,188.0,70.0
Salah-Eddine Oulad M'hand,Midfielder,Netherlands,2003-08-20,,
Charlie Patino,Midfielder,England,2003-10-17,,
Omari Hutchinson,Midfielder,England,2003-10-29,,
Mika Biereth,Forward,England,2003-08-02,,
Zach Awe,Defender,England,2004-09-01,,
Zak Swanson,Defender,England,2000-09-28,,
Mazeed Ogungbo,Defender,Ireland,2002-10-20,,
Marcelo Flores,Midfielder,Mexico,2003-01-10,,
Miguel Azeez,Midfielder,England,2002-09-20,,
Emiliano Martínez,Goalkeeper,Argentina,1992-02-09,195.0,88.0
Matthew Cash,Defender,Poland,1997-07-08,185.0,
Ezri Konsa,Defender,England,1997-10-23,183.0,77.0
Tyrone Mings,Defender,England,1993-03-13,196.0,77.0
Kortney Hause,Defender,England,1995-07-16,191.0,77.0
Douglas Luiz,Midfielder,Brazil,1998-09-05,175.0,66.0
John McGinn,Midfielder,Scotland,1994-10-18,178.0,68.0
Marvelous Nakamba,Midfielder,Zimbabwe,1994-01-19,178.0,71.0
Morgan Sanson,Midfielder,France,1994-08-18,180.0,73.0
Jacob Ramsey,Midfielder,England,2001-05-28,,
Ollie Watkins,Forward,England,1995-12-30,180.0,70.0
Bertrand Traoré,Forward,Burkina,1995-06-09,181.0,73.0
Emiliano Buendía,Midfielder,Argentina,1996-12-25,172.0,72.0
Ashley Young,Defender,England,1985-09-07,175.0,65.0
Leon Bailey,Forward,Jamaica,1997-09-08,178.0,77.0
Danny Ings,Forward,England,1992-07-23,178.0,73.0
Carney Chukwuemeka,Midfielder,England,2003-10-20,,
Viljami Sinisalo,Goalkeeper,Finland,2001-11-10,,
Sil Swinkels,Defender,Netherlands,2004-06-01,,
Lamare Bogarde,Midfielder,Netherlands,2004-05-01,,
Hayden Lindley,Midfielder,England,2002-02-09,,
Tim Iroegbunam,Midfielder,England,2003-06-30,,
Josh Feeney,Midfielder,England,2005-06-05,,
Philippe Coutinho,Midfielder,Brazil,1992-12-06,172.0,68.0
Lucas Digne,Defender,France,1993-07-20,178.0,74.0
Robin Olsen,Goalkeeper,Sweden,1990-08-01,198.0,89.0
Calum Chambers,Defender,England,1995-01-20,182.0,66.0
Benjamin Chrisene,Midfielder,England,2004-12-01,,
Tommi O'Reilly,Midfielder,England,2003-12-15,,
David Raya,Goalkeeper,Spain,1995-09-15,183.0,80.0
Rico Henry,Defender,England,1997-08-07,170.0,67.0
Ethan Pinnock,Defender,Jamaica,1993-05-29,187.0,79.0
Pontus Jansson,Defender,Sweden,1991-02-13,194.0,89.0
Mads Bech Sørensen,Defender,Denmark,1999-07-01,189.0,92.0
Mads Roerslev,Defender,Denmark,1999-06-24,184.0,77.0
Christian Nørgaard,Midfielder,Denmark,1994-10-03,187.0,76.0
Mathias Jensen,Midfielder,Denmark,1996-01-01,180.0,68.0
Josh Dasilva,Midfielder,England,1998-10-23,184.0,75.0
Bryan Mbeumo,Midfielder,France,1999-07-08,171.0,
Tariqe Fosu-Henry,Midfielder,Ghana,1995-05-11,180.0,75.0
Shandon Baptiste,Midfielder,Grenada,1998-08-04,175.0,71.0
Vitaly Janelt,Midfielder,Germany,1998-10-05,184.0,79.0
Sergi Canós,Forward,Spain,1997-02-02,177.0,75.0
Ivan Toney,Forward,England,1996-03-16,179.0,70.0
Saman Ghoddos,Forward,Iran,1993-06-09,176.0,75.0
Julian Jeanvier,Defender,Guinea,1992-03-31,185.0,84.0
Finley Stevens,Defender,Wales,2003-10-04,,
Lewis Gordon,Defender,England,2001-12-02,,
Maxwell Haygarth,Midfielder,England,2002-01-21,,
Kristoffer Ajer,Defender,Norway,1998-04-17,196.0,84.0
Frank Onyeka,Midfielder,Nigeria,1998-01-01,183.0,
Myles Peart-Harris,Midfielder,England,2002-09-18,,
Yoane Wissa,Midfielder,DR,1996-03-09,176.0,74.0
Álvaro Fernández,Goalkeeper,Spain,1998-04-13,185.0,75.0
Zanka,Defender,Denmark,1990-04-23,191.0,79.0
Paris Maghoma,Midfielder,England,2001-08-05,,
Matthew Cox,Goalkeeper,England,2003-02-05,,
Daniel Oyegoke,Defender,England,2003-03-01,,
Nathan Young-Coombes,Forward,England,2003-01-15,,
Patrik Gunnarsson,Goalkeeper,Iceland,2000-11-15,190.0,84.0
Jonas Lössl,Goalkeeper,Denmark,1989-01-02,195.0,89.0
Christian Eriksen,Midfielder,Denmark,1992-02-14,182.0,76.0
Jason Steele,Goalkeeper,England,1990-08-18,188.0,79.0
Robert Sánchez,Goalkeeper,Spain,1997-11-18,197.0,90.0
Tariq Lamptey,Defender,England,2000-09-30,,
Adam Webster,Defender,England,1995-04-01,191.0,75.0
Lewis Dunk,Defender,England,1991-11-21,192.0,88.0
Joël Veltman,Defender,Netherlands,1992-01-15,184.0,75.0
Yves Bissouma,Midfielder,Mali,1996-08-30,182.0,80.0
Alexis Mac Allister,Midfielder,Argentina,1998-12-24,176.0,72.0
Pascal Groß,Midfielder,Germany,1991-06-15,181.0,78.0
Adam Lallana,Midfielder,England,1988-10-05,172.0,73.0
Jakub Moder,Midfielder,Poland,1999-07-04,188.0,78.0
Steven Alzate,Midfielder,Colombia,1998-08-09,180.0,75.0
Solly March,Midfielder,England,1994-07-20,180.0,88.0
Neal Maupay,Forward,France,1996-08-14,173.0,69.0
Leandro Trossard,Forward,Belgium,1994-04-12,171.0,61.0
Danny Welbeck,Forward,England,1990-11-26,185.0,73.0
Shane Duffy,Defender,Ireland,1992-01-01,193.0,76.0
