Club Name,Season,Player Name,Date Of Birth
Arsenal,2021/22,Bernd Leno,1992-04-03
Arsenal,2021/22,Arthur Okonkwo,2001-09-09
Arsenal,2021/22,Kieran Tierney,1997-05-06
Arsenal,2021/22,Gabriel Magalhães,1997-12-19
Arsenal,2021/22,Rob Holding,1995-09-20
Arsenal,2021/22,Cédric Soares,1991-08-31
Arsenal,2021/22,Bukayo Saka,2001-05-09
Arsenal,2021/22,Thomas Partey,1993-06-13
Arsenal,2021/22,Mohamed Elneny,1992-11-07
Arsenal,2021/22,Emile Smith Rowe,2000-07-28
Arsenal,2021/22,Granit Xhaka,1992-09-27
Arsenal,2021/22,Alexandre Lacazette,1991-05-28
Arsenal,2021/22,Nicolas Pépé,1995-05-29
Arsenal,2021/22,Eddie Nketiah,1999-05-30
Arsenal,2021/22,Gabriel Martinelli,2001-06-18
Arsenal,2021/22,Nuno Tavares,2000-01-26
Arsenal,2021/22,Albert Sambi Lokonga,1999-10-22
Arsenal,2021/22,Benjamin White,1997-08-10
Arsenal,2021/22,Martin Ødegaard,1998-12-17
Arsenal,2021/22,Aaron Ramsdale,1998-05-14
Arsenal,2021/22,Takehiro Tomiyasu,1998-05-11
Arsenal,2021/22,Salah-Eddine Oulad M'hand,2003-08-20
Arsenal,2021/22,Charlie Patino,2003-10-17
Arsenal,2021/22,Omari Hutchinson,2003-10-29
Arsenal,2021/22,Mika Biereth,2003-08-02
Arsenal,2021/22,Zach Awe,2004-09-01
Arsenal,2021/22,Zak Swanson,2000-09-28
Arsenal,2021/22,Mazeed Ogungbo,2002-10-20
Arsenal,2021/22,Marcelo Flores,2003-01-10
Arsenal,2021/22,Miguel Azeez,2002-09-20
Aston Villa,2021/22,Emiliano Martínez,1992-02-09
Aston Villa,2021/22,Matthew Cash,1997-07-08
Aston Villa,2021/22,Ezri Konsa,1997-10-23
Aston Villa,2021/22,Tyrone Mings,1993-03-13
Aston Villa,2021/22,Kortney Hause,1995-07-16
Aston Villa,2021/22,Douglas Luiz,1998-09-05
Aston Villa,2021/22,John McGinn,1994-10-18
Aston Villa,2021/22,Marvelous Nakamba,1994-01-19
Aston Villa,2021/22,Morgan Sanson,1994-08-18
Aston Villa,2021/22,Jacob Ramsey,2001-05-28
Aston Villa,2021/22,Ollie Watkins,1995-12-30
Aston Villa,2021/22,Bertrand Traoré,1995-06-09
Aston Villa,2021/22,Emiliano Buendía,1996-12-25
Aston Villa,2021/22,Ashley Young,1985-09-07
Aston Villa,2021/22,Leon Bailey,1997-09-08
Aston Villa,2021/22,Danny Ings,1992-07-23
Aston Villa,2021/22,Carney Chukwuemeka,2003-10-20
Aston Villa,2021/22,Viljami Sinisalo,2001-11-10
Aston Villa,2021/22,Sil Swinkels,2004-06-01
Aston Villa,2021/22,Lamare Bogarde,2004-05-01
Aston Villa,2021/22,Hayden Lindley,2002-02-09
Aston Villa,2021/22,Tim Iroegbunam,2003-06-30
Aston Villa,2021/22,Josh Feeney,2005-06-05
Aston Villa,2021/22,Philippe Coutinho,1992-12-06
Aston Villa,2021/22,Lucas Digne,1993-07-20
Aston Villa,2021/22,Robin Olsen,1990-08-01
Aston Villa,2021/22,Calum Chambers,1995-01-20
Aston Villa,2021/22,Benjamin Chrisene,2004-12-01
Aston Villa,2021/22,Tommi O'Reilly,2003-12-15
Brentford,2021/22,David Raya,1995-09-15
Brentford,2021/22,Rico Henry,1997-08-07
Brentford,2021/22,Ethan Pinnock,1993-05-29
Brentford,2021/22,Pontus Jansson,1991-02-13
Brentford,2021/22,Mads Bech Sørensen,1999-07-01
Brentford,2021/22,Mads Roerslev,1999-06-24
Brentford,2021/22,Christian Nørgaard,1994-10-03
Brentford,2021/22,Mathias Jensen,1996-01-01
Brentford,2021/22,Josh Dasilva,1998-10-23
Brentford,2021/22,Bryan Mbeumo,1999-07-08
Brentford,2021/22,Tariqe Fosu-Henry,1995-05-11
Brentford,2021/22,Shandon Baptiste,1998-08-04
Brentford,2021/22,Vitaly Janelt,1998-10-05
Brentford,2021/22,Sergi Canós,1997-02-02
Brentford,2021/22,Ivan Toney,1996-03-16
Brentford,2021/22,Saman Ghoddos,1993-06-09
Brentford,2021/22,Julian Jeanvier,1992-03-31
Brentford,2021/22,Finley Stevens,2003-10-04
Brentford,2021/22,Lewis Gordon,2001-12-02
Brentford,2021/22,Maxwell Haygarth,2002-01-21
Brentford,2021/22,Kristoffer Ajer,1998-04-17
Brentford,2021/22,Frank Onyeka,1998-01-01
Brentford,2021/22,Myles Peart-Harris,2002-09-18
Brentford,2021/22,Yoane Wissa,1996-03-09
Brentford,2021/22,Álvaro Fernández,1998-04-13
Brentford,2021/22,Zanka,1990-04-23
Brentford,2021/22,Paris Maghoma,2001-08-05
Brentford,2021/22,Matthew Cox,2003-02-05
Brentford,2021/22,Daniel Oyegoke,2003-03-01
Brentford,2021/22,Nathan Young-Coombes,2003-01-15
Brentford,2021/22,Patrik Gunnarsson,2000-11-15
Brentford,2021/22,Jonas Lössl,1989-01-02
Brentford,2021/22,Christian Eriksen,1992-02-14
Brighton and Hove Albion,2021/22,Jason Steele,1990-08-18
Brighton and Hove Albion,2021/22,Robert Sánchez,1997-11-18
Brighton and Hove Albion,2021/22,Tariq Lamptey,2000-09-30
