,Stadium Name,stadium Website
0,Emirates Stadium,https://www.premierleague.com/clubs/1/Arsenal/stadium
1,Villa Park,https://www.premierleague.com/clubs/2/Aston-Villa/stadium
2,Brentford Community Stadium,https://www.premierleague.com/clubs/130/Brentford/stadium
3,Amex Stadium,https://www.premierleague.com/clubs/131/Brighton-and-Hove-Albion/stadium
4,Turf Moor,https://www.premierleague.com/clubs/43/Burnley/stadium
5,Stamford Bridge,https://www.premierleague.com/clubs/4/Chelsea/stadium
6,Selhurst Park,https://www.premierleague.com/clubs/6/Crystal-Palace/stadium
7,Goodison Park,https://www.premierleague.com/clubs/7/Everton/stadium
8,Elland Road,https://www.premierleague.com/clubs/9/Leeds-United/stadium
9,King Power Stadium,https://www.premierleague.com/clubs/26/Leicester-City/stadium
10,Anfield,https://www.premierleague.com/clubs/10/Liverpool/stadium
11,Etihad Stadium,https://www.premierleague.com/clubs/11/Manchester-City/stadium
12,Old Trafford,https://www.premierleague.com/clubs/12/Manchester-United/stadium
13,St. James' Park,https://www.premierleague.com/clubs/23/Newcastle-United/stadium
14,Carrow Road,https://www.premierleague.com/clubs/14/Norwich-City/stadium
15,St. Mary's Stadium,https://www.premierleague.com/clubs/20/Southampton/stadium
16,Tottenham Hotspur Stadium,https://www.premierleague.com/clubs/21/Tottenham-Hotspur/stadium
17,Vicarage Road,https://www.premierleague.com/clubs/33/Watford/stadium
18,London Stadium,https://www.premierleague.com/clubs/25/West-Ham-United/stadium
19,Molineux Stadium,https://www.premierleague.com/clubs/38/Wolverhampton-Wanderers/stadium
20,Craven Cottage,https://www.premierleague.com/clubs/34/Fulham/stadium
21,Bramall Lane,https://www.premierleague.com/clubs/18/Sheffield-United/stadium
22,The Hawthorns,https://www.premierleague.com/clubs/36/West-Bromwich-Albion/stadium
23,Vitality Stadium,https://www.premierleague.com/clubs/127/Bournemouth/stadium
24,Cardiff City Stadium,https://www.premierleague.com/clubs/46/Cardiff-City/stadium
25,John Smith's Stadium,https://www.premierleague.com/clubs/159/Huddersfield-Town/stadium
26,Wembley Stadium,https://www.premierleague.com/clubs/21/Tottenham-Hotspur/stadium
