,Player Link,Player Name,Season,Position,nationality
0,https://www.premierleague.com/players/48285/Aaron-Ramsey/overview,Aaron Ramsey,2021/22,Midfielder,England
1,https://www.premierleague.com/players/19970/Max-Aarons/overview,Max Aarons,2021/22,Defender,England
2,https://www.premierleague.com/players/13279/Abdul-Rahman-Baba/overview,Abdul Rahman Baba,2021/22,Defender,Ghana
3,https://www.premierleague.com/players/13286/Tammy-Abraham/overview,Tammy Abraham,2021/22,Forward,England
4,https://www.premierleague.com/players/9199/Adam-Armstrong/overview,Adam Armstrong,2021/22,Forward,England
5,https://www.premierleague.com/players/10905/Che-Adams/overview,Che Adams,2021/22,Forward,Scotland
6,https://www.premierleague.com/players/72541/Omotayo-Adaramola/overview,Omotayo Adaramola,2021/22,Defender,Ireland
7,https://www.premierleague.com/players/4852/Adri%C3%A1n/overview,Adrián,2021/22,Goalkeeper,Spain
8,https://www.premierleague.com/players/4328/Sergio-Ag%C3%BCero/overview,Sergio Agüero,2021/22,Forward,Argentina
9,https://www.premierleague.com/players/90665/Derek-Agyakwa/overview,Derek Agyakwa,2021/22,Defender,Netherlands
10,https://www.premierleague.com/players/4183/Ahmed-El-Mohamady/overview,Ahmed El Mohamady,2021/22,Defender,Egypt
11,https://www.premierleague.com/players/71432/Rayan-A%C3%AFt-Nouri/overview,Rayan Aït-Nouri,2021/22,Defender,France
12,https://www.premierleague.com/players/20113/Kristoffer-Ajer/overview,Kristoffer Ajer,2021/22,Defender,Norway
13,https://www.premierleague.com/players/4499/Nathan-Ak%C3%A9/overview,Nathan Aké,2021/22,Defender,Netherlands
14,https://www.premierleague.com/players/3564/Marc-Albrighton/overview,Marc Albrighton,2021/22,Midfielder,England
15,https://www.premierleague.com/players/4916/Toby-Alderweireld/overview,Toby Alderweireld,2021/22,Defender,Belgium
16,https://www.premierleague.com/players/51480/Ryan-Alebiosu/overview,Ryan Alebiosu,2021/22,Defender,England
17,https://www.premierleague.com/players/20053/Ajibola-Alese/overview,Ajibola Alese,2021/22,Defender,England
18,https://www.premierleague.com/players/5467/Alex-Telles/overview,Alex Telles,2021/22,Defender,Brazil
19,https://www.premierleague.com/players/14732/Trent-Alexander-Arnold/overview,Trent Alexander-Arnold,2021/22,Defender,England
20,https://www.premierleague.com/players/22698/Ezgjan-Alioski/overview,Ezgjan Alioski,2021/22,Midfielder,North Macedonia
21,https://www.premierleague.com/players/20559/Alisson/overview,Alisson,2021/22,Goalkeeper,Brazil
22,https://www.premierleague.com/players/15994/Allan/overview,Allan,2021/22,Midfielder,Brazil
23,https://www.premierleague.com/players/9167/Dele-Alli/overview,Dele Alli,2021/22,Midfielder,England
24,https://www.premierleague.com/players/54312/Miguel-Almir%C3%B3n/overview,Miguel Almirón,2021/22,Midfielder,Paraguay
25,https://www.premierleague.com/players/4093/Marcos-Alonso/overview,Marcos Alonso,2021/22,Defender,Spain
26,https://www.premierleague.com/players/51774/Jaime-Alvarado/overview,Jaime Alvarado,2021/22,Midfielder,Colombia
27,https://www.premierleague.com/players/52723/Juli%C3%A1n-%C3%81lvarez/overview,Julián Álvarez,2021/22,Forward,Argentina
28,https://www.premierleague.com/players/112742/Will-Alves/overview,Will Alves,2021/22,Forward,England
29,https://www.premierleague.com/players/20723/Steven-Alzate/overview,Steven Alzate,2021/22,Forward,Colombia
30,https://www.premierleague.com/players/12306/Daniel-Amartey/overview,Daniel Amartey,2021/22,Defender,Ghana
31,https://www.premierleague.com/players/19731/Ethan-Ampadu/overview,Ethan Ampadu,2021/22,Defender,Wales
32,https://www.premierleague.com/players/26151/Joachim-Andersen/overview,Joachim Andersen,2021/22,Defender,Denmark
33,https://www.premierleague.com/players/23742/Joseph-Anderson/overview,Joseph Anderson,2021/22,Defender,England
34,https://www.premierleague.com/players/37587/Florin-Andone/overview,Florin Andone,2021/22,Forward,Romania
35,https://www.premierleague.com/players/5061/Andr%C3%A9-Gomes/overview,André Gomes,2021/22,Midfielder,Portugal
36,https://www.premierleague.com/players/10476/Andreas-Pereira/overview,Andreas Pereira,2021/22,Midfielder,Brazil
37,https://www.premierleague.com/players/121739/Vincent-Angelini/overview,Vincent Angelini,2021/22,Goalkeeper,Scotland
38,https://www.premierleague.com/players/10467/Angeli%C3%B1o/overview,Angeliño,2021/22,Defender,Spain
39,https://www.premierleague.com/players/24708/Faustino-Anjorin/overview,Faustino Anjorin,2021/22,Midfielder,England
40,https://www.premierleague.com/players/9595/Michail-Antonio/overview,Michail Antonio,2021/22,Forward,Jamaica
41,https://www.premierleague.com/players/51631/Keenan-Appiah-Forson/overview,Keenan Appiah-Forson,2021/22,Midfielder,England
42,https://www.premierleague.com/players/51667/Billy-Arce/overview,Billy Arce,2021/22,Midfielder,Ecuador
43,https://www.premierleague.com/players/25281/Cameron-Archer/overview,Cameron Archer,2021/22,Forward,England
44,https://www.premierleague.com/players/5748/Alphonse-Areola/overview,Alphonse Areola,2021/22,Goalkeeper,France
45,https://www.premierleague.com/players/11373/Kepa-Arrizabalaga/overview,Kepa Arrizabalaga,2021/22,Goalkeeper,Spain
46,https://www.premierleague.com/players/31883/Harrison-Ashby/overview,Harrison Ashby,2021/22,Defender,Scotland
47,https://www.premierleague.com/players/123450/Yaser-Asprilla/overview,Yaser Asprilla,2021/22,Midfielder,Colombia
48,https://www.premierleague.com/players/23750/Ryan-Astley/overview,Ryan Astley,2021/22,Defender,Wales
49,https://www.premierleague.com/players/4859/Christian-Atsu/overview,Christian Atsu,2021/22,Midfielder,Ghana
50,https://www.premierleague.com/players/5110/Pierre-Emerick-Aubameyang/overview,Pierre-Emerick Aubameyang,2021/22,Forward,Gabon
51,https://www.premierleague.com/players/11293/Serge-Aurier/overview,Serge Aurier,2021/22,Defender,Cote D’Ivoire
52,https://www.premierleague.com/players/15114/Brandon-Austin/overview,Brandon Austin,2021/22,Goalkeeper,England
53,https://www.premierleague.com/players/67217/Zach-Awe/overview,Zach Awe,2021/22,Defender,England
54,https://www.premierleague.com/players/15340/Taiwo-Awoniyi/overview,Taiwo Awoniyi,2021/22,Forward,Nigeria
55,https://www.premierleague.com/players/5595/Jordan-Ayew/overview,Jordan Ayew,2021/22,Forward,Ghana
56,https://www.premierleague.com/players/3314/Luke-Ayling/overview,Luke Ayling,2021/22,Defender,England
57,https://www.premierleague.com/players/26975/Miguel-Azeez/overview,Miguel Azeez,2021/22,Midfielder,England
58,https://www.premierleague.com/players/4496/C%C3%A9sar-Azpilicueta/overview,César Azpilicueta,2021/22,Defender,Spain
59,https://www.premierleague.com/players/69816/Kwadwo-Baah/overview,Kwadwo Baah,2021/22,Midfielder,Germany
60,https://www.premierleague.com/players/9762/Daniel-Bachmann/overview,Daniel Bachmann,2021/22,Goalkeeper,Austria
61,https://www.premierleague.com/players/20489/Leon-Bailey/overview,Leon Bailey,2021/22,Forward,Jamaica
62,https://www.premierleague.com/players/12937/Eric-Bailly/overview,Eric Bailly,2021/22,Defender,Cote D’Ivoire
63,https://www.premierleague.com/players/11260/Tiemou%C3%A9-Bakayoko/overview,Tiemoué Bakayoko,2021/22,Midfielder,France
64,https://www.premierleague.com/players/4749/Lewis-Baker/overview,Lewis Baker,2021/22,Midfielder,England
65,https://www.premierleague.com/players/66607/James-Balagizi/overview,James Balagizi,2021/22,Midfielder,England
66,https://www.premierleague.com/players/32435/Fabi%C3%A1n-Balbuena/overview,Fabián Balbuena,2021/22,Defender,Paraguay
67,https://www.premierleague.com/players/21317/Ellery-Balcombe/overview,Ellery Balcombe,2021/22,Goalkeeper,England
68,https://www.premierleague.com/players/3513/Gareth-Bale/overview,Gareth Bale,2021/22,Forward,Wales
69,https://www.premierleague.com/players/19871/Folarin-Balogun/overview,Folarin Balogun,2021/22,Forward,England
70,https://www.premierleague.com/players/63655/Tudor-Baluta/overview,Tudor Baluta,2021/22,Defender,Romania
71,https://www.premierleague.com/players/4291/Patrick-Bamford/overview,Patrick Bamford,2021/22,Forward,England
72,https://www.premierleague.com/players/14623/Beni-Baningime/overview,Beni Baningime,2021/22,Midfielder,DR Congo
73,https://www.premierleague.com/players/74776/Scott-Banks/overview,Scott Banks,2021/22,Midfielder,Scotland
74,https://www.premierleague.com/players/24773/Shandon-Baptiste/overview,Shandon Baptiste,2021/22,Midfielder,Grenada
75,https://www.premierleague.com/players/14426/Daniel-Barden/overview,Daniel Barden,2021/22,Goalkeeper,Wales
76,https://www.premierleague.com/players/2517/Phil-Bardsley/overview,Phil Bardsley,2021/22,Defender,Scotland
77,https://www.premierleague.com/players/4115/Ross-Barkley/overview,Ross Barkley,2021/22,Midfielder,England
78,https://www.premierleague.com/players/8246/Ashley-Barnes/overview,Ashley Barnes,2021/22,Forward,England
79,https://www.premierleague.com/players/15185/Mason-Barrett/overview,Mason Barrett,2021/22,Defender,England
80,https://www.premierleague.com/players/52960/Louie-Barry/overview,Louie Barry,2021/22,Forward,England
81,https://www.premierleague.com/players/49501/Lewis-Bate/overview,Lewis Bate,2021/22,Midfielder,England
82,https://www.premierleague.com/players/7450/Michy-Batshuayi/overview,Michy Batshuayi,2021/22,Forward,Belgium
83,https://www.premierleague.com/players/14568/Nathan-Baxter/overview,Nathan Baxter,2021/22,Goalkeeper,England
84,https://www.premierleague.com/players/25540/Mads-Bech-S%C3%B8rensen/overview,Mads Bech Sørensen,2021/22,Defender,Denmark
85,https://www.premierleague.com/players/66565/Owen-Beck/overview,Owen Beck,2021/22,Defender,Wales
86,https://www.premierleague.com/players/19589/Jan-Bednarek/overview,Jan Bednarek,2021/22,Defender,Poland
